"Source","Target"
"4","333"
"4","334"
"4","335"
"4","336"
"4","337"
"4","338"
"4","339"
"4","340"
"4","341"
"4","342"
"4","343"
"4","344"
"5","26"
"5","282"
"5","424"
"5","425"
"5","426"
"5","427"
"5","428"
"5","429"
"5","430"
"5","431"
"5","432"
"5","433"
"5","434"
"5","435"
"5","436"
"5","437"
"5","438"
"5","439"
"5","440"
"5","441"
"5","442"
"5","443"
"5","444"
"5","445"
"5","446"
"5","447"
"5","448"
"5","449"
"5","450"
"5","451"
"5","452"
"5","453"
"5","454"
"5","455"
"5","456"
"5","457"
"5","458"
"5","459"
"5","460"
"5","461"
"5","462"
"5","463"
"5","464"
"5","465"
"5","466"
"5","467"
"5","468"
"5","469"
"5","470"
"5","471"
"5","472"
"5","473"
"5","474"
"5","475"
"5","476"
"5","477"
"5","478"
"5","479"
"5","480"
"5","481"
"5","482"
"5","483"
"5","484"
"5","485"
"5","486"
"5","487"
"5","488"
"5","489"
"5","490"
"5","491"
"5","492"
"5","493"
"5","494"
"5","495"
"5","496"
"5","497"
"5","498"
"5","499"
"5","500"
"5","501"
"5","502"
"5","503"
"5","504"
"5","505"
"5","506"
"5","507"
"5","508"
"5","509"
"5","510"
"5","511"
"5","512"
"5","513"
"5","514"
"5","515"
"5","516"
"5","517"
"5","518"
"5","519"
"5","520"
"5","521"
"5","522"
"5","523"
"5","524"
"5","525"
"5","526"
"5","527"
"5","528"
"5","529"
"5","530"
"5","531"
"5","532"
"5","533"
"5","534"
"5","535"
"5","536"
"5","537"
"5","538"
"5","539"
"5","540"
"5","541"
"5","542"
"5","543"
"5","544"
"5","545"
"5","546"
"5","547"
"5","548"
"5","549"
"5","550"
"5","551"
"5","552"
"5","553"
"5","554"
"5","555"
"5","556"
"5","557"
"5","558"
"5","559"
"5","560"
"5","561"
"5","562"
"5","563"
"5","564"
"5","565"
"5","566"
"5","567"
"5","568"
"5","569"
"5","570"
"5","571"
"5","572"
"5","573"
"5","574"
"5","575"
"5","576"
"5","577"
"5","578"
"5","579"
"5","580"
"5","581"
"5","582"
"5","583"
"5","584"
"5","585"
"5","586"
"5","587"
"5","588"
"5","589"
"5","590"
"5","591"
"5","592"
"5","593"
"5","594"
"5","595"
"5","596"
"5","597"
"5","598"
"5","599"
"5","600"
"5","601"
"5","602"
"5","603"
"5","604"
"5","605"
"5","606"
"5","607"
"5","608"
"5","609"
"5","610"
"5","611"
"5","612"
"5","613"
"5","614"
"5","615"
"5","616"
"5","617"
"5","618"
"5","619"
"5","620"
"5","621"
"5","622"
"5","623"
"5","624"
"5","625"
"5","626"
"5","627"
"5","628"
"5","629"
"5","630"
"5","631"
"5","632"
"5","633"
"5","634"
"5","635"
"5","636"
"5","637"
"5","638"
"5","639"
"5","640"
"5","641"
"5","642"
"5","643"
"5","644"
"5","645"
"5","646"
"5","647"
"5","648"
"5","649"
"5","650"
"5","651"
"5","652"
"5","653"
"5","654"
"5","655"
"5","656"
"5","657"
"5","658"
"5","659"
"5","660"
"5","661"
"5","662"
"5","663"
"5","664"
"5","665"
"5","666"
"5","667"
"5","668"
"6","43"
"6","139"
"6","140"
"6","141"
"6","142"
"6","143"
"6","144"
"6","145"
"6","146"
"6","147"
"6","148"
"6","149"
"6","150"
"6","151"
"6","152"
"6","153"
"6","154"
"6","155"
"6","156"
"6","157"
"6","158"
"6","159"
"6","160"
"6","161"
"6","162"
"6","163"
"6","164"
"6","165"
"6","166"
"6","167"
"6","168"
"6","169"
"6","170"
"6","171"
"6","172"
"6","173"
"6","174"
"7","135"
"8","137"
"8","138"
"9","46"
"9","51"
"10","175"
"10","176"
"10","177"
"10","178"
"10","179"
"10","180"
"10","181"
"11","44"
"11","375"
"11","377"
"11","383"
"11","385"
"11","389"
"11","391"
"11","392"
"11","393"
"11","394"
"11","395"
"11","396"
"11","397"
"11","398"
"11","399"
"11","400"
"11","401"
"11","402"
"11","403"
"11","404"
"11","405"
"11","406"
"11","407"
"11","408"
"11","409"
"11","410"
"11","411"
"11","412"
"11","413"
"11","414"
"11","415"
"11","416"
"11","417"
"11","418"
"11","419"
"11","420"
"11","421"
"11","422"
"11","423"
"12","345"
"12","346"
"12","347"
"12","348"
"12","349"
"12","350"
"12","351"
"12","352"
"12","353"
"12","354"
"12","355"
"12","356"
"12","357"
"12","358"
"12","359"
"12","360"
"12","361"
"12","362"
"12","363"
"12","364"
"12","365"
"12","366"
"12","367"
"12","368"
"12","369"
"12","370"
"12","371"
"12","372"
"12","373"
"12","374"
"12","376"
"12","378"
"12","379"
"12","380"
"12","381"
"12","382"
"12","384"
"12","386"
"12","387"
"12","388"
"12","390"
"13","460"
"13","717"
"13","719"
"13","721"
"13","723"
"13","725"
"13","726"
"13","728"
"13","729"
"13","730"
"13","731"
"13","732"
"13","733"
"13","734"
"13","736"
"13","739"
"13","742"
"13","746"
"13","748"
"13","749"
"13","750"
"13","751"
"13","752"
"13","753"
"13","755"
"13","760"
"13","762"
"13","765"
"13","766"
"13","768"
"13","769"
"13","770"
"13","772"
"13","773"
"13","774"
"13","791"
"13","793"
"13","794"
"13","795"
"13","796"
"13","797"
"13","798"
"13","799"
"13","800"
"13","802"
"13","803"
"13","804"
"13","805"
"13","806"
"13","807"
"13","808"
"13","809"
"13","810"
"13","811"
"13","812"
"13","813"
"13","814"
"13","816"
"13","817"
"13","818"
"13","819"
"13","820"
"13","821"
"13","822"
"13","823"
"13","824"
"13","825"
"13","826"
"13","827"
"13","828"
"13","829"
"13","830"
"13","831"
"13","832"
"13","833"
"13","834"
"13","835"
"13","836"
"13","837"
"13","838"
"13","839"
"13","840"
"13","841"
"13","842"
"13","843"
"13","844"
"13","845"
"13","846"
"13","847"
"13","848"
"13","849"
"13","850"
"13","851"
"13","852"
"13","853"
"13","854"
"13","855"
"13","856"
"13","857"
"13","858"
"13","859"
"13","860"
"13","861"
"13","863"
"13","864"
"13","865"
"13","866"
"13","867"
"13","868"
"13","869"
"13","870"
"13","871"
"13","872"
"13","873"
"13","874"
"13","875"
"13","876"
"13","877"
"13","878"
"13","879"
"13","880"
"13","881"
"13","882"
"13","883"
"14","691"
"14","692"
"14","693"
"14","694"
"14","695"
"14","696"
"14","697"
"14","698"
"14","699"
"14","700"
"14","701"
"14","702"
"14","703"
"14","704"
"14","705"
"14","706"
"14","707"
"14","708"
"14","709"
"14","710"
"14","711"
"14","712"
"14","713"
"14","714"
"14","715"
"14","716"
"15","54"
"15","680"
"15","681"
"15","682"
"15","683"
"15","684"
"15","685"
"15","686"
"15","687"
"15","688"
"15","689"
"15","690"
"16","425"
"16","725"
"16","913"
"16","1009"
"16","1010"
"16","1011"
"16","1012"
"16","1013"
"16","1014"
"16","1015"
"16","1016"
"16","1017"
"16","1018"
"16","1019"
"16","1020"
"16","1021"
"16","1022"
"16","1023"
"16","1024"
"16","1025"
"16","1026"
"16","1027"
"16","1028"
"16","1029"
"16","1030"
"16","1031"
"16","1032"
"16","1033"
"16","1034"
"16","1035"
"16","1036"
"16","1037"
"16","1038"
"16","1039"
"16","1040"
"16","1041"
"16","1042"
"16","1043"
"16","1044"
"16","1045"
"16","1046"
"16","1047"
"16","1048"
"16","1049"
"16","1050"
"16","1051"
"16","1052"
"16","1053"
"16","1054"
"16","1055"
"16","1056"
"16","1057"
"16","1058"
"16","1059"
"16","1060"
"16","1061"
"16","1062"
"16","1063"
"16","1064"
"16","1065"
"16","1066"
"16","1067"
"16","1068"
"16","1069"
"16","1070"
"16","1071"
"16","1072"
"16","1073"
"16","1074"
"16","1075"
"16","1076"
"16","1077"
"16","1078"
"16","1079"
"16","1080"
"16","1081"
"16","1082"
"16","1083"
"16","1084"
"16","1085"
"16","1086"
"16","1087"
"16","1088"
"16","1089"
"16","1090"
"16","1091"
"16","1092"
"16","1093"
"16","1094"
"16","1095"
"16","1096"
"16","1097"
"16","1098"
"16","1099"
"16","1100"
"16","1101"
"16","1102"
"16","1103"
"16","1104"
"16","1105"
"16","1106"
"16","1107"
"16","1108"
"16","1109"
"16","1110"
"16","1111"
"16","1112"
"16","1113"
"16","1114"
"16","1115"
"16","1116"
"16","1117"
"16","1118"
"16","1119"
"16","1120"
"16","1121"
"16","1122"
"16","1123"
"16","1124"
"16","1125"
"16","1126"
"16","1127"
"16","1128"
"16","1129"
"16","1130"
"16","1131"
"16","1132"
"16","1133"
"16","1134"
"16","1135"
"16","1136"
"16","1137"
"16","1138"
"16","1139"
"16","1140"
"16","1141"
"16","1142"
"16","1143"
"16","1144"
"16","1145"
"16","1146"
"16","1147"
"16","1148"
"16","1149"
"16","1150"
"16","1151"
"16","1152"
"16","1153"
"16","1154"
"16","1155"
"16","1156"
"16","1157"
"16","1158"
"16","1159"
"16","1160"
"16","1161"
"16","1162"
"16","1163"
"16","1164"
"16","1165"
"16","1166"
"16","1167"
"16","1168"
"16","1169"
"16","1170"
"16","1171"
"16","1172"
"16","1173"
"16","1174"
"16","1175"
"16","1176"
"16","1177"
"16","1178"
"16","1179"
"16","1180"
"16","1181"
"16","1182"
"16","1183"
"16","1184"
"16","1185"
"16","1186"
"16","1187"
"16","1188"
"16","1189"
"16","1190"
"16","1191"
"16","1192"
"16","1193"
"16","1194"
"16","1195"
"17","26"
"17","196"
"17","239"
"17","282"
"17","292"
"17","378"
"17","404"
"17","409"
"17","451"
"17","536"
"17","541"
"17","631"
"17","650"
"17","777"
"17","782"
"17","785"
"17","788"
"17","893"
"17","901"
"17","908"
"17","911"
"17","918"
"17","923"
"17","936"
"17","945"
"17","953"
"17","959"
"17","975"
"17","977"
"17","1001"
"17","1007"
"17","1020"
"17","1023"
"17","1043"
"17","1077"
"17","1080"
"17","1097"
"17","1119"
"17","1242"
"17","1244"
"17","1246"
"17","1247"
"17","1248"
"17","1249"
"17","1253"
"17","1256"
"17","1257"
"17","1259"
"17","1260"
"17","1261"
"17","1262"
"17","1263"
"17","1265"
"17","1271"
"17","1279"
"17","1280"
"17","1282"
"17","1283"
"17","1284"
"17","1285"
"17","1287"
"17","1289"
"17","1290"
"17","1292"
"17","1294"
"17","1297"
"17","1301"
"17","1303"
"17","1304"
"17","1306"
"17","1308"
"17","1309"
"17","1310"
"17","1311"
"17","1313"
"17","1314"
"17","1315"
"17","1316"
"17","1317"
"17","1318"
"17","1319"
"17","1320"
"17","1326"
"17","1328"
"17","1329"
"17","1330"
"17","1331"
"17","1332"
"17","1334"
"17","1336"
"17","1339"
"17","1341"
"17","1342"
"17","1346"
"17","1348"
"17","1349"
"17","1350"
"17","1351"
"17","1352"
"17","1353"
"17","1354"
"17","1358"
"17","1361"
"17","1362"
"17","1363"
"17","1364"
"17","1365"
"17","1367"
"17","1368"
"17","1369"
"17","1370"
"17","1371"
"17","1372"
"17","1373"
"17","1374"
"17","1377"
"17","1383"
"17","1385"
"17","1387"
"17","1389"
"17","1391"
"17","1392"
"17","1393"
"17","1394"
"17","1395"
"17","1396"
"17","1397"
"17","1398"
"17","1400"
"17","1401"
"17","1403"
"17","1404"
"17","1407"
"17","1409"
"17","1410"
"17","1411"
"17","1413"
"17","1415"
"17","1416"
"17","1418"
"17","1421"
"17","1423"
"17","1424"
"17","1426"
"17","1437"
"17","1441"
"17","1443"
"17","1445"
"17","1450"
"17","1451"
"17","1452"
"17","1453"
"17","1454"
"17","1455"
"17","1456"
"17","1457"
"17","1458"
"17","1459"
"17","1460"
"17","1461"
"17","1462"
"17","1463"
"17","1465"
"17","1467"
"17","1468"
"17","1470"
"17","1472"
"17","1473"
"17","1474"
"17","1476"
"17","1477"
"17","1478"
"17","1479"
"17","1480"
"17","1481"
"17","1484"
"17","1487"
"17","1489"
"17","1491"
"17","1493"
"17","1495"
"17","1496"
"17","1497"
"17","1498"
"17","1500"
"17","1501"
"17","1502"
"17","1503"
"17","1504"
"17","1505"
"17","1506"
"17","1507"
"17","1508"
"17","1511"
"17","1514"
"17","1516"
"17","1518"
"17","1519"
"17","1520"
"17","1522"
"17","1523"
"17","1525"
"17","1526"
"17","1527"
"17","1529"
"17","1530"
"17","1534"
"17","1536"
"17","1538"
"17","1540"
"17","1541"
"17","1545"
"17","1547"
"17","1548"
"17","1551"
"17","1557"
"17","1559"
"17","1563"
"17","1567"
"17","1570"
"17","1574"
"17","1575"
"17","1577"
"17","1581"
"17","1583"
"17","1584"
"17","1586"
"17","1587"
"17","1588"
"17","1589"
"17","1590"
"17","1591"
"17","1592"
"17","1593"
"17","1594"
"17","1595"
"17","1597"
"17","1598"
"17","1600"
"17","1611"
"17","1613"
"17","1614"
"17","1615"
"17","1616"
"17","1617"
"17","1618"
"17","1619"
"17","1620"
"17","1621"
"17","1622"
"17","1623"
"17","1624"
"17","1625"
"17","1626"
"17","1627"
"17","1628"
"17","1629"
"17","1630"
"17","1632"
"17","1634"
"17","1635"
"17","1636"
"17","1637"
"17","1638"
"17","1639"
"17","1640"
"17","1641"
"17","1642"
"17","1644"
"17","1645"
"17","1647"
"17","1649"
"17","1653"
"17","1654"
"17","1657"
"17","1658"
"17","1659"
"17","1661"
"17","1663"
"17","1664"
"17","1665"
"17","1667"
"17","1669"
"17","1670"
"17","1671"
"17","1673"
"17","1675"
"17","1678"
"17","1680"
"17","1687"
"17","1688"
"17","1691"
"17","1694"
"17","1696"
"17","1698"
"17","1700"
"17","1701"
"17","1702"
"17","1703"
"17","1704"
"17","1705"
"17","1706"
"17","1707"
"17","1708"
"17","1709"
"17","1714"
"17","1716"
"17","1717"
"17","1718"
"17","1719"
"17","1720"
"17","1721"
"17","1723"
"17","1725"
"17","1726"
"17","1727"
"17","1728"
"17","1729"
"17","1730"
"17","1731"
"17","1732"
"17","1733"
"17","1734"
"17","1735"
"17","1736"
"17","1738"
"17","1741"
"17","1742"
"17","1744"
"17","1745"
"17","1750"
"17","1752"
"17","1753"
"17","1756"
"17","1758"
"17","1759"
"17","1760"
"17","1761"
"17","1762"
"17","1763"
"17","1764"
"17","1766"
"17","1768"
"17","1770"
"17","1771"
"17","1772"
"17","1773"
"17","1774"
"17","1775"
"17","1776"
"18","669"
"18","670"
"18","671"
"18","672"
"18","673"
"18","674"
"18","675"
"18","676"
"18","677"
"19","21"
"19","46"
"19","51"
"19","678"
"19","679"
"20","500"
"20","563"
"20","718"
"20","720"
"20","722"
"20","724"
"20","727"
"20","735"
"20","737"
"20","738"
"20","740"
"20","741"
"20","743"
"20","744"
"20","745"
"20","747"
"20","754"
"20","756"
"20","757"
"20","758"
"20","759"
"20","761"
"20","763"
"20","764"
"20","767"
"20","771"
"20","775"
"20","776"
"20","777"
"20","778"
"20","779"
"20","780"
"20","781"
"20","782"
"20","783"
"20","784"
"20","785"
"20","786"
"20","787"
"20","788"
"20","789"
"20","790"
"20","792"
"20","801"
"20","815"
"20","862"
"20","884"
"20","885"
"20","886"
"20","887"
"20","888"
"20","889"
"20","890"
"20","891"
"20","892"
"20","893"
"20","894"
"20","895"
"20","896"
"20","897"
"20","898"
"20","899"
"20","900"
"20","901"
"20","902"
"20","903"
"20","904"
"20","905"
"20","906"
"20","907"
"20","908"
"20","909"
"20","910"
"20","911"
"20","912"
"20","913"
"20","914"
"20","915"
"20","916"
"20","917"
"20","918"
"20","919"
"20","920"
"20","921"
"20","922"
"20","923"
"20","924"
"20","925"
"20","926"
"20","927"
"20","928"
"20","929"
"20","930"
"20","931"
"20","932"
"20","933"
"20","934"
"20","935"
"20","936"
"20","937"
"20","938"
"20","939"
"20","940"
"20","941"
"20","942"
"20","943"
"20","944"
"20","945"
"20","946"
"20","947"
"20","948"
"20","949"
"20","950"
"20","951"
"20","952"
"20","953"
"20","954"
"20","955"
"20","956"
"20","957"
"20","958"
"20","959"
"20","960"
"20","961"
"20","962"
"20","963"
"20","964"
"20","965"
"20","966"
"20","967"
"20","968"
"20","969"
"20","970"
"20","971"
"20","972"
"20","973"
"20","974"
"20","975"
"20","976"
"20","977"
"20","978"
"20","979"
"20","980"
"20","981"
"20","982"
"20","983"
"20","984"
"20","985"
"20","986"
"20","987"
"20","988"
"20","989"
"20","990"
"20","991"
"20","992"
"20","993"
"20","994"
"20","995"
"20","996"
"20","997"
"20","998"
"20","999"
"20","1000"
"20","1001"
"20","1002"
"20","1003"
"20","1004"
"20","1005"
"20","1006"
"20","1007"
"20","1008"
"21","31"
"21","37"
"21","57"
"21","247"
"21","449"
"21","881"
"21","1882"
"21","1883"
"21","1884"
"21","1885"
"21","1886"
"21","1887"
"21","1888"
"21","1889"
"21","1890"
"21","1891"
"21","1892"
"21","1893"
"21","1894"
"21","1895"
"21","1896"
"21","1897"
"21","1898"
"21","1899"
"21","1900"
"21","1901"
"21","1902"
"21","1903"
"21","1904"
"21","1905"
"21","1906"
"21","1907"
"21","1908"
"21","1909"
"21","1910"
"21","1911"
"21","1912"
"21","1913"
"21","1914"
"21","1915"
"21","1916"
"21","1917"
"21","1918"
"21","1919"
"21","1920"
"21","1921"
"21","1922"
"21","1923"
"21","1924"
"21","1925"
"21","1926"
"21","1927"
"21","1928"
"21","1929"
"21","1930"
"21","1931"
"21","1932"
"21","1933"
"21","1934"
"21","1935"
"21","1936"
"21","1937"
"21","1938"
"21","1939"
"21","1940"
"21","1941"
"21","1942"
"21","1943"
"21","1944"
"21","1945"
"21","1946"
"21","1947"
"21","1948"
"21","1949"
"21","1950"
"21","1951"
"21","1952"
"21","1953"
"21","1954"
"21","1955"
"21","1956"
"21","1957"
"21","1958"
"21","1959"
"21","1960"
"21","1961"
"21","1962"
"21","1963"
"21","1964"
"21","1965"
"21","1966"
"21","1967"
"21","1968"
"21","1969"
"21","1970"
"21","1971"
"21","1972"
"21","1973"
"21","1974"
"21","1975"
"21","1976"
"21","1977"
"21","1978"
"21","1979"
"21","1980"
"21","1981"
"21","1982"
"21","1983"
"21","1984"
"21","1985"
"21","1986"
"21","1987"
"21","1988"
"21","1989"
"21","1990"
"21","1991"
"21","1992"
"21","1993"
"21","1994"
"21","1995"
"21","1996"
"21","1997"
"21","1998"
"21","1999"
"21","2000"
"21","2001"
"21","2002"
"21","2003"
"21","2004"
"21","2005"
"21","2006"
"21","2007"
"21","2008"
"21","2009"
"21","2010"
"21","2011"
"21","2012"
"21","2013"
"21","2014"
"21","2015"
"21","2016"
"21","2017"
"21","2018"
"21","2019"
"21","2020"
"21","2021"
"21","2022"
"21","2023"
"21","2024"
"21","2025"
"21","2026"
"21","2027"
"21","2028"
"21","2029"
"21","2030"
"21","2031"
"21","2032"
"21","2033"
"21","2034"
"21","2035"
"21","2036"
"21","2037"
"21","2038"
"21","2039"
"21","2040"
"21","2041"
"21","2042"
"21","2043"
"21","2044"
"21","2045"
"21","2046"
"21","2047"
"21","2048"
"21","2049"
"21","2050"
"21","2051"
"21","2052"
"21","2053"
"21","2054"
"21","2055"
"21","2056"
"21","2057"
"21","2058"
"21","2059"
"21","2060"
"21","2061"
"21","2062"
"21","2063"
"21","2064"
"21","2065"
"21","2066"
"21","2067"
"21","2068"
"21","2069"
"21","2070"
"21","2071"
"21","2072"
"21","2073"
"21","2074"
"21","2075"
"21","2076"
"21","2077"
"21","2078"
"21","2079"
"21","2080"
"21","2081"
"21","2082"
"21","2083"
"21","2084"
"21","2085"
"21","2086"
"21","2087"
"21","2088"
"21","2089"
"21","2090"
"21","2091"
"21","2092"
"21","2093"
"21","2094"
"21","2095"
"21","2096"
"21","2097"
"21","2098"
"21","2099"
"21","2100"
"21","2101"
"21","2102"
"21","2103"
"21","2104"
"21","2105"
"21","2106"
"21","2107"
"21","2108"
"21","2109"
"21","2110"
"21","2111"
"21","2112"
"21","2113"
"21","2114"
"21","2115"
"21","2116"
"21","2117"
"21","2118"
"21","2119"
"21","2120"
"21","2121"
"21","2122"
"21","2123"
"21","2124"
"21","2125"
"21","2126"
"21","2127"
"21","2128"
"21","2129"
"21","2130"
"21","2131"
"21","2132"
"21","2133"
"21","2134"
"21","2135"
"21","2136"
"21","2137"
"21","2138"
"21","2139"
"21","2140"
"21","2141"
"21","2142"
"21","2143"
"21","2144"
"21","2145"
"21","2146"
"21","2147"
"21","2148"
"21","2149"
"21","2150"
"21","2151"
"21","2152"
"21","2153"
"21","2154"
"21","2155"
"21","2156"
"21","2157"
"21","2158"
"21","2159"
"21","2160"
"21","2161"
"21","2162"
"21","2163"
"21","2164"
"21","2165"
"21","2166"
"21","2167"
"21","2168"
"21","2169"
"21","2170"
"21","2171"
"21","2172"
"21","2173"
"21","2174"
"21","2175"
"21","2176"
"21","2177"
"21","2178"
"21","2179"
"21","2180"
"21","2181"
"21","2182"
"21","2183"
"21","2184"
"21","2185"
"21","2186"
"21","2187"
"21","2188"
"21","2189"
"21","2190"
"21","2191"
"21","2192"
"21","2193"
"21","2194"
"21","2195"
"21","2196"
"21","2197"
"21","2198"
"21","2199"
"21","2200"
"21","2201"
"21","2202"
"21","2203"
"21","2204"
"21","2205"
"21","2206"
"21","2207"
"21","2208"
"21","2209"
"21","2210"
"21","2211"
"21","2212"
"21","2213"
"21","2214"
"21","2215"
"21","2216"
"21","2217"
"21","2218"
"21","2219"
"21","2220"
"21","2221"
"21","2222"
"21","2223"
"21","2224"
"21","2225"
"21","2226"
"21","2227"
"21","2228"
"21","2229"
"21","2230"
"21","2231"
"21","2232"
"21","2233"
"21","2234"
"21","2235"
"21","2236"
"21","2237"
"21","2238"
"21","2239"
"21","2240"
"21","2241"
"21","2242"
"21","2243"
"21","2244"
"21","2245"
"21","2246"
"21","2247"
"21","2248"
"21","2249"
"21","2250"
"21","2251"
"21","2252"
"21","2253"
"21","2254"
"21","2255"
"21","2256"
"21","2257"
"21","2258"
"21","2259"
"21","2260"
"21","2261"
"21","2262"
"21","2263"
"21","2264"
"21","2265"
"21","2266"
"21","2267"
"21","2268"
"21","2269"
"21","2270"
"21","2271"
"21","2272"
"21","2273"
"21","2274"
"21","2275"
"21","2276"
"21","2277"
"21","2278"
"21","2279"
"21","2280"
"21","2281"
"21","2282"
"21","2283"
"21","2284"
"21","2285"
"21","2286"
"21","2287"
"21","2288"
"21","2289"
"21","2290"
"21","2291"
"21","2292"
"21","2293"
"21","2294"
"21","2295"
"21","2296"
"21","2297"
"21","2298"
"21","2299"
"21","2300"
"21","2301"
"21","2302"
"21","2303"
"21","2304"
"21","2305"
"21","2306"
"21","2307"
"21","2308"
"21","2309"
"21","2310"
"21","2311"
"21","2312"
"21","2313"
"21","2314"
"21","2315"
"21","2316"
"21","2317"
"21","2318"
"21","2319"
"21","2320"
"21","2321"
"21","2322"
"21","2323"
"21","2324"
"21","2325"
"21","2326"
"21","2327"
"21","2328"
"21","2329"
"21","2330"
"21","2331"
"21","2332"
"21","2333"
"21","2334"
"21","2335"
"21","2336"
"21","2337"
"21","2338"
"21","2339"
"21","2340"
"21","2341"
"21","2342"
"21","2343"
"21","2344"
"21","2345"
"21","2346"
"21","2347"
"21","2348"
"21","2349"
"21","2350"
"21","2351"
"21","2352"
"21","2353"
"21","2354"
"21","2355"
"21","2356"
"21","2357"
"21","2358"
"21","2359"
"21","2360"
"21","2361"
"21","2362"
"21","2363"
"21","2364"
"21","2365"
"21","2366"
"21","2367"
"21","2368"
"21","2369"
"21","2370"
"21","2371"
"21","2372"
"21","2373"
"21","2374"
"21","2375"
"21","2376"
"21","2377"
"21","2378"
"21","2379"
"21","2380"
"21","2381"
"21","2382"
"21","2383"
"21","2384"
"21","2385"
"21","2386"
"21","2387"
"21","2388"
"21","2389"
"21","2390"
"21","2391"
"21","2392"
"21","2393"
"21","2394"
"21","2395"
"21","2396"
"21","2397"
"21","2398"
"21","2399"
"21","2400"
"21","2401"
"21","2402"
"21","2403"
"21","2404"
"21","2405"
"21","2406"
"21","2407"
"21","2408"
"21","2409"
"21","2410"
"21","2411"
"21","2412"
"21","2413"
"21","2414"
"21","2415"
"21","2416"
"21","2417"
"21","2418"
"21","2419"
"21","2420"
"21","2421"
"21","2422"
"21","2423"
"21","2424"
"21","2425"
"21","2426"
"21","2427"
"21","2428"
"21","2429"
"21","2430"
"21","2431"
"21","2432"
"21","2433"
"21","2434"
"21","2435"
"21","2436"
"21","2437"
"21","2438"
"21","2439"
"21","2440"
"21","2441"
"21","2442"
"21","2443"
"21","2444"
"21","2445"
"21","2446"
"21","2447"
"21","2448"
"21","2449"
"21","2450"
"21","2451"
"21","2452"
"21","2453"
"21","2454"
"21","2455"
"21","2456"
"21","2457"
"21","2458"
